mjdarr,bbbmodel,sbbbmodel,synmodel,ssynmodel,bbodymodel,sbbodymodel,total,stotal 
56714.34765625,1.476127593010997e-12,2.0194839173657902e-28,1.9183244073490972e-11,2.2522004510575768e-13,4.482439015982172e-13,2.5451376353349431e-13,2.0101320060956151e-11,6.0303960182868448e-13
56745.19921875,1.476127593010997e-12,2.0194839173657902e-28,7.4610657637101315e-12,4.8392792623962693e-13,3.9156290150924545e-12,6.6127703442460892e-13,1.0972876485307944e-11,3.2918629455923832e-13
56777.27734375,1.476127593010997e-12,2.0194839173657902e-28,7.0481086054599433e-12,1.5388137285214833e-13,2.9864660226839408e-12,2.1164518518221903e-13,9.9370158795641052e-12,2.9811047638692314e-13
56801.7109375,1.476127593010997e-12,2.0194839173657902e-28,4.0272191946250808e-12,1.3995899405804901e-13,2.0831506435321686e-12,1.9419446582047588e-13,6.3821801136774676e-12,1.9146540341032401e-13
56831.22265625,1.476127593010997e-12,2.0194839173657902e-28,4.2513654724759542e-12,1.9689436986730354e-13,2.0810707209255657e-12,2.6979392395625912e-13,6.5988644126129604e-12,1.979659323783888e-13
56860.1953125,1.476127593010997e-12,2.0194839173657902e-28,3.4846023391915533e-12,3.1026820370956362e-13,1.8629956143316185e-12,4.0577403483174476e-13,5.9157576824154861e-12,1.7747273047246457e-13
56987.015625,1.476127593010997e-12,2.0194839173657902e-28,6.7401926827439475e-12,1.8423385162383525e-13,2.600689634602701e-12,2.5199101104250003e-13,9.6451675571494311e-12,2.8935502671448292e-13
57015.88671875,1.476127593010997e-12,2.0194839173657902e-28,4.2501840752668388e-12,9.6473254347736752e-14,1.9043866378484004e-12,1.3374225720711563e-13,6.6606916080170818e-12,1.9982074824051245e-13
57045.4296875,1.476127593010997e-12,2.0194839173657902e-28,6.3474893148658057e-12,2.2133594917684927e-13,1.6772365575923724e-12,2.9050160659911464e-13,8.5329414174310738e-12,2.5598824252293219e-13
57068.96484375,1.476127593010997e-12,2.0194839173657902e-28,4.8186836507964613e-12,3.3234496543725985e-13,1.9260558866920279e-12,4.492719191578827e-13,7.2103564098701411e-12,2.1631069229610422e-13
57104.20703125,1.476127593010997e-12,2.0194839173657902e-28,3.9341868030478306e-12,2.8558276950327726e-13,1.7748826110715493e-12,3.852907451786949e-13,6.0550817703412605e-12,1.8165245311023782e-13
57128.94921875,1.476127593010997e-12,2.0194839173657902e-28,7.2534604653136293e-12,2.3051611746223513e-13,1.6286759897376496e-12,3.0016214122988888e-13,8.1192186293542341e-12,2.43576558880627e-13
57164.08984375,1.476127593010997e-12,2.0194839173657902e-28,3.6163042204886501e-12,2.3539129858737611e-13,1.6671889636519848e-12,3.1581849837106893e-13,5.6646072825503908e-12,1.6993821847651171e-13
57190.9765625,1.476127593010997e-12,2.0194839173657902e-28,5.2914297730064883e-12,2.6374005011955797e-13,2.0742016959306522e-12,3.5211198228165531e-13,7.8175268624735742e-12,2.3452580587420723e-13
